epoch,train_loss,val_loss
1,0.030348353957136472,0.030188805889338255
2,0.029382708917061486,0.02784868679009378
3,0.024413004579643408,0.01945704431273043
4,0.013396981544792652,0.007996021886356175
5,0.005995778304835161,0.004548276076093316
6,0.004032789170742035,0.003629709215601906
7,0.003452041760707895,0.003232847957406193
8,0.003117479003655414,0.002948603796539828
9,0.002859093931814035,0.0027166040672454983
10,0.0026436203935494024,0.002512144885258749
11,0.002449541189707816,0.002333004551474005
12,0.0022859830409288407,0.002183401578804478
13,0.002144542840930323,0.002053912219707854
14,0.0020249062528212864,0.0019446457590674981
15,0.0019207098560097317,0.001850044951424934
16,0.0018313549769421419,0.0017688301741145551
17,0.0017560287262313068,0.0016988724819384515
18,0.0016915348164426784,0.0016390699165640399
19,0.0016347391569676499,0.0015853450750000775
20,0.0015825849686128398,0.001537400807137601
21,0.001533378924553593,0.0014900479873176664
22,0.0014869184621299307,0.0014462383260251954
23,0.0014470447320491075,0.0014078148815315217
24,0.001408182158290098,0.0013698570983251557
25,0.0013709364148477713,0.0013347205967875198
26,0.001337049505673349,0.001301967611652799
27,0.001305991147334377,0.0012731128663290292
28,0.0012751387936683993,0.0012437815312296152
29,0.001247641483011345,0.0012186247331555933
30,0.001222690928261727,0.001194133801618591
31,0.0011993479332886637,0.0011721877381205559
32,0.0011772298137657344,0.001152030956291128
33,0.001157923135906458,0.0011330928828101605
34,0.0011415161619273324,0.0011153820742038079
35,0.0011250946573757878,0.0010996287310263142
36,0.0011093326087575407,0.0010855582586373203
37,0.001093050247679154,0.001071471837349236
38,0.0010827611355731885,0.001059210699168034
39,0.0010709133057389408,0.0010479141637915745
40,0.001056166976923123,0.0010382529144408181
41,0.0010495199841291955,0.001026908226776868
42,0.0010373219285005084,0.0010185955616179854
43,0.001028550307576855,0.0010094583776663058
44,0.0010208239235604802,0.001002035613055341
45,0.001011758353949214,0.0009946349819074385
46,0.001005204716542115,0.0009869186105788685
47,0.0009985775124126425,0.0009810873525566421
48,0.000991434087821593,0.0009747034055180848
49,0.0009836561725630115,0.0009690039369161241
50,0.0009829620850117257,0.0009636199974920601
51,0.0009770230894597868,0.0009594106013537385
52,0.0009693925579388937,0.0009544186541461386
53,0.0009660913046294202,0.0009525013956590556
54,0.000962967483792454,0.0009464872418902814
55,0.0009585744914753984,0.0009433099185116589
56,0.0009536915963205199,0.0009389901460963301
57,0.0009526519822732856,0.0009363398858113214
58,0.000948214476617674,0.0009331075489171781
59,0.0009449249443908533,0.0009300567471655086
60,0.0009417943559431782,0.0009273852847400121
61,0.0009411403036210686,0.0009238702041329816
62,0.0009383280586916954,0.0009227853952324949
63,0.0009349074719163279,0.000919958867598325
64,0.0009317007051625599,0.0009177026367979124
65,0.000931170309195295,0.0009148897879640572
66,0.0009279448597226292,0.0009149749312200584
67,0.000927956720503668,0.0009123475247179158
68,0.0009243124222848564,0.0009107916266657412
69,0.0009242127921121816,0.000910680741071701
70,0.0009216039790771902,0.0009077831273316406
71,0.000920500608238702,0.0009061516757356003
72,0.0009188625961542129,0.0009059778676601127
73,0.0009172288080056509,0.0009035369585035369
74,0.0009167080376452456,0.0009034998074639589
75,0.0009158518728024016,0.0009011553484015167
76,0.0009136508315956841,0.0009003127852338366
77,0.0009143020356229196,0.0008999684214359149
78,0.0009121421026065946,0.0008987690598587506
79,0.0009122179297264665,0.0008974281008704565
80,0.0009117115056142211,0.0008967678004410118
81,0.0009103430958930403,0.0008963138243416324
82,0.0009092931907313565,0.0008946054440457374
83,0.0009086528695964565,0.0008944546498241834
84,0.0009072500804904848,0.0008933292701840401
85,0.0009075797628611326,0.0008928283932618797
86,0.0009055890977227439,0.0008921105036279187
87,0.0009040220757015049,0.0008912370540201664
88,0.0009039190462014328,0.0008928233946789987
89,0.0009036552296796192,0.0008903531197574921
90,0.0009019635540122787,0.0008898787928046659
91,0.0009031646031265457,0.0008897313673514873
92,0.0009018936621335645,0.000888898764969781
93,0.0009013996634166688,0.0008879108791006729
94,0.0009012901010767867,0.0008877275977283716
95,0.0009009082044940442,0.0008870017554727383
96,0.000899640191346407,0.000886984787939582
97,0.0009002728290700664,0.0008872653706930578
98,0.0008986703236587345,0.0008861136375344358
99,0.0008994301451214899,0.0008858261717250571
100,0.0008975505110962938,0.0008855329360812902
101,0.0008958248790198316,0.0008849959558574483
102,0.0008968140212042878,0.0008851170132402331
103,0.000897282794661199,0.0008883183618308976
104,0.0008964311855379492,0.0008832937237457372
105,0.0008956188433027516,0.0008821671362966299
106,0.0008958272519521415,0.0008837058485369198
107,0.0008969333430286497,0.0008829121507005766
108,0.0008948612104480465,0.0008823881289572455
109,0.00089594639527301,0.0008829787911963649
110,0.0008935882651712745,0.0008818559072096832
111,0.0008948091242928057,0.0008821709416224621
112,0.0008953662686205159,0.0008820400253171101
113,0.0008943237926966201,0.0008817767957225442
114,0.0008950797414096693,0.0008828880163491704
115,0.0008933974682198216,0.0008804639946902171
116,0.0008932990992131332,0.0008808544662315398
117,0.0008936620880073558,0.0008804054523352534
118,0.0008927099232096225,0.0008794475215836428
119,0.0008918447555818905,0.0008799617644399405
120,0.0008921304678854842,0.0008805545512586832
